# What a token costs, in USD per million, at list price.
#
# The ledger records what a run would have cost through the API, so that two
# harnesses billed in different ways -- a subscription and a subscription --
# can be compared as money rather than as tokens. Tokens are not comparable:
# a cached input token on Fable 5.1 costs a fortieth of a fresh one, and the
# two engines cache differently.
#
# Checked against a real run before being trusted: the build of T160 reports
# costUSD 13.9794595 for 16389 input, 7004158 cache reads, 338589 one-hour
# cache writes and 105855 output tokens on Fable 5.1, and these rates give
# 13.9794595.
#
# Sources, both read on 2026-09-06:
#   https://platform.claude.com/docs/en/docs/about-claude/pricing
#   https://developers.openai.com/api/docs/pricing
#
# `model` matches the beginning of the model name the run reports, longest
# first, so claude-haiku-4-5-20251001 finds claude-haiku-4-5. A model with no
# row here leaves the cost empty and says so, rather than being priced at a
# guess.
#
# cache_write_5m and cache_write_1h are the two cache durations Anthropic
# prices separately; OpenAI does not bill a cache write, so those columns
# repeat the input price for gpt models and are never used.
model	input	cache_read	cache_write_5m	cache_write_1h	output
claude-fable-5-1	10	0.25	12.50	20	50
claude-fable-5	10	1	12.50	20	50
claude-mythos-5-1	10	0.25	12.50	20	50
claude-opus-5	5	0.50	6.25	10	25
claude-opus-4-8	5	0.50	6.25	10	25
claude-opus-4-7	5	0.50	6.25	10	25
claude-opus-4-6	5	0.50	6.25	10	25
claude-opus-4-5	5	0.50	6.25	10	25
claude-sonnet-5	2	0.20	2.50	4	10
claude-sonnet-4-6	3	0.30	3.75	6	15
claude-sonnet-4-5	3	0.30	3.75	6	15
claude-haiku-4-5	1	0.10	1.25	2	5
gpt-5.5-pro	30	30	30	30	180
gpt-5.5	5	0.50	5	5	30
gpt-5.4	2.50	0.25	2.50	2.50	15
gpt-5.2	1.75	0.175	1.75	1.75	14
gpt-5.1	1.25	0.125	1.25	1.25	10
gpt-5	1.25	0.125	1.25	1.25	10
