# How well each table's digits are known.
#
# One line per table: tid, level, and the evidence for it. Read by
# `manage.py set_rigour`, which writes the level into the table's Data
# properties. Kept as a file rather than done in a script so that the
# judgement can be read, argued with and corrected -- it is a claim about
# 88 tables and most of it was made by reading one line of each generator.
#
# The evidence is the generate.sage that produced the table, in the
# numberdb-data repository, or -- for the fifteen tables that have no script --
# what was done to establish the digits here, recorded in the fourth column.
#
# An optional fourth column gives a table its own `rigour details` sentence,
# replacing the generic one for its level. It is there because `proven` covers
# more than one kind of thing: usually ball arithmetic, but T5's interval is a
# pair of theorems about matrix multiplication and T3's zeros were checked
# against arb's certified enclosures. A sentence that is nearly right is worse
# than none, since it is the sentence a reader will believe.
#
# The four physical constants are `measured`, which is not on the scale the
# other levels sit on. It says the number was not computed at all, so asking
# whether measurement beats agreement-checking has no answer -- they are not
# the same kind of claim.
#
# A first pass classified these by pattern-matching the scripts and got
# thirteen wrong, in three separate ways: `mpmath.mp.airyaizero(` does not
# match `mpmath\.\w+\(`; `from mpmath import mp` hides mpmath behind `mp`;
# and six p-adic scripts import mpmath, never call it, and compute in Qp,
# which tracks precision exactly as an interval field does. Every line that
# is not `exact` by the table's declared type has since been read.
#
# The direction that matters was checked separately: a wrong `heuristic` is
# conservative, a wrong `proven` is a false claim of rigour. Every `proven`
# was re-checked against a deliberately wide net for inexact arithmetic, and
# the one hit turned out to be a `.n()` inside a debugging print.
#
# That check was not enough. Reading a script cannot tell you whether
# `RIF(f(x))` is an enclosure: it depends on whether f has an interval
# implementation, and when it does not, Sage evaluates numerically and hands
# back an interval of width zero -- which looks exactly like an exact value.
# Running each function settled it. gamma, psi, zeta and log return genuine
# enclosures; elliptic_kc, elliptic_ec, elliptic_pi and sin_integral return
# points that do not contain a 4000-bit value. Four tables were labelled
# `proven` on that basis and are now `heuristic`. Their stored digits are
# right -- they agree with a 4000-bit computation past 200 characters -- but
# nothing proves them, which is the distinction this file exists to draw.
#
# A table with a generator in `generators/` is described by that generator,
# not by this file: the generator is what runs, and it may do better than the
# script it replaced. Nine lines below say `converted:` for that reason, and
# running this file with --overwrite before they did cost those nine tables
# their levels for about a minute.
#
# tid	level	evidence
T0	exact	type Z
T1	exact	type Z
T2	exact	type Z
T6	exact	type Z
T9	proven	interval or ball arithmetic only
T11	exact	type Z
T13	exact	type Q
T14	proven	interval or ball arithmetic only
T15	proven	interval or ball arithmetic only
T16	assumed-bound	mpmath's quadrature returns an estimated error, not a bound	Rests on mpmath's stieltjes, which evaluates a contour integral by numerical quadrature. mpmath's quadrature returns an error *estimate*, and its own documentation says the result may still be inaccurate for some functions; the working precision it uses is the requested precision plus ten bits and the square root of n, which for the largest n here is about forty. The interval was then widened by four units in the last place, a bound asserted rather than derived. Recomputing at double precision agrees to about 104 digits, so the hundred written are very likely right.
T17	proven	interval or ball arithmetic only
T20	heuristic (agreement-checked)	converted: generators/T20-bessel-j-zeros computes at 150 and 200 digits and keeps what agrees
T21	heuristic (agreement-checked)	converted: generators/T21-bessel-y-zeros computes at 150 and 200 digits and keeps what agrees
T22	heuristic (agreement-checked)	converted: generators/T22-bessel-j-extrema computes at 150 and 200 digits and keeps what agrees
T23	heuristic (agreement-checked)	converted: generators/T23-bessel-y-extrema computes at 150 and 200 digits and keeps what agrees
T24	heuristic	a fixed-precision value wrapped in an interval field
T25	proven	converted: generators/T25-elliptic-k recomputes it with arb (acb_elliptic_k); 774/774 matched
T26	proven	converted: generators/T26-elliptic-e recomputes it with arb (acb_elliptic_e); 775/775 matched
T27	proven	interval or ball arithmetic only
T28	proven	interval or ball arithmetic only
T29	proven	interval or ball arithmetic only
T30	exact	type Q
T31	assumed-bound	built on stieltjes, whose quadrature estimates its error	Rests on mpmath's stieltjes, which evaluates a contour integral by numerical quadrature. mpmath's quadrature returns an error *estimate*, and its own documentation says the result may still be inaccurate for some functions; the working precision it uses is the requested precision plus ten bits and the square root of n, which for the largest n here is about forty. The interval was then widened by four units in the last place, a bound asserted rather than derived. Recomputing at double precision agrees to about 104 digits, so the hundred written are very likely right.
T33	proven	interval or ball arithmetic only
T34	assumed-bound	built on stieltjes, whose quadrature estimates its error	Rests on mpmath's stieltjes, which evaluates a contour integral by numerical quadrature. mpmath's quadrature returns an error *estimate*, and its own documentation says the result may still be inaccurate for some functions; the working precision it uses is the requested precision plus ten bits and the square root of n, which for the largest n here is about forty. The interval was then widened by four units in the last place, a bound asserted rather than derived. Recomputing at double precision agrees to about 104 digits, so the hundred written are very likely right.
T35	proven	roots of integer quadratics, taken in a complex interval field
T36	assumed-bound	built on stieltjes, whose quadrature estimates its error	Rests on mpmath's stieltjes, which evaluates a contour integral by numerical quadrature. mpmath's quadrature returns an error *estimate*, and its own documentation says the result may still be inaccurate for some functions; the working precision it uses is the requested precision plus ten bits and the square root of n, which for the largest n here is about forty. The interval was then widened by four units in the last place, a bound asserted rather than derived. Recomputing at double precision agrees to about 104 digits, so the hundred written are very likely right.
T40	proven	converted: generators/T40-gibbs-constant recomputes it with arb (acb_hypgeom_si); 4/4 matched
T42	exact	type Z
T44	proven	p-adic arithmetic (Qp.teichmuller_system); mpmath is imported and never used
T45	proven	p-adic arithmetic (Qp(k).log()); precision tracked by Qp
T46	proven	p-adic arithmetic; precision tracked by Qp
T47	proven	p-adic arithmetic; precision tracked by Qp
T48	proven	p-adic arithmetic; precision tracked by Qp
T49	proven	interval or ball arithmetic only
T50	proven	p-adic arithmetic; precision tracked by Qp
T51	proven	interval or ball arithmetic only
T52	proven	p-adic arithmetic, precision tracked by Qp
T53	heuristic	a fixed-precision value wrapped in an interval field
T54	heuristic	a fixed-precision value wrapped in an interval field
T55	heuristic (agreement-checked)	converted: generators/T55-airy-ai-zeros computes at 150 and 200 digits and keeps what agrees
T56	heuristic (agreement-checked)	converted: generators/T56-airy-bi-zeros computes at 150 and 200 digits and keeps what agrees
T57	heuristic (agreement-checked)	converted: generators/T57-airy-ai-extrema computes at 150 and 200 digits and keeps what agrees
T58	heuristic (agreement-checked)	converted: generators/T58-airy-bi-extrema computes at 150 and 200 digits and keeps what agrees
T59	proven	converted: generators/T59-elliptic-pi recomputes it with arb (acb_elliptic_pi); 992/992 matched
T60	proven	exp(2*pi*i*k/n) evaluated into a complex interval field
T61	proven	cos(pi*x) at exact rationals, evaluated into an interval field
T62	exact	type Z
T63	exact	type Z
T64	assumed-bound	PARI ellheight documents no accuracy; see the details	Computed with Sage's E.regulator(proof=True). The arithmetic is proven: proof=True means the Mordell-Weil basis is certified, so the regulator is the right quantity rather than a multiple of it. The numerics are not. The heights come from PARI's ellheight, whose documentation states the normalisation and nothing about accuracy; Sage's own implementation truncates Silverman's series at a term count derived from his published bound, but tracks no rounding error through the loop, and its working precision is a guard found by patching cases that failed. The height pairing matrix is then built in ordinary floating point, its off-diagonal entries by a subtraction of nearly equal heights, and a determinant is taken. Recomputing at double precision agrees to about 204 digits, so the hundred written here are almost certainly right; nothing bounds them.
T65	assumed-bound	PARI ellheight documents no accuracy; see the details	Computed with Sage's E.regulator(proof=True). The arithmetic is proven: proof=True means the Mordell-Weil basis is certified, so the regulator is the right quantity rather than a multiple of it. The numerics are not. The heights come from PARI's ellheight, whose documentation states the normalisation and nothing about accuracy; Sage's own implementation truncates Silverman's series at a term count derived from his published bound, but tracks no rounding error through the loop, and its working precision is a guard found by patching cases that failed. The height pairing matrix is then built in ordinary floating point, its off-diagonal entries by a subtraction of nearly equal heights, and a determinant is taken. Recomputing at double precision agrees to about 204 digits, so the hundred written here are almost certainly right; nothing bounds them.
T66	assumed-bound	PARI ellheight documents no accuracy; see the details	Computed with Sage's E.regulator(proof=True). The arithmetic is proven: proof=True means the Mordell-Weil basis is certified, so the regulator is the right quantity rather than a multiple of it. The numerics are not. The heights come from PARI's ellheight, whose documentation states the normalisation and nothing about accuracy; Sage's own implementation truncates Silverman's series at a term count derived from his published bound, but tracks no rounding error through the loop, and its working precision is a guard found by patching cases that failed. The height pairing matrix is then built in ordinary floating point, its off-diagonal entries by a subtraction of nearly equal heights, and a determinant is taken. Recomputing at double precision agrees to about 204 digits, so the hundred written here are almost certainly right; nothing bounds them.
T67	exact	type Q
T68	proven	j-invariants of exact curves, taken in a complex interval field
T69	proven	converted: generators/T69-lvalue-rank-1 uses deriv_at1, which returns a proven error bound
T70	heuristic (agreement-checked)	the script computes at two precisions and asserts they agree	Computed at two working precisions, the second twice the first, and written only after the two agreed -- the script asserts it. That bounds the error from working precision and nothing else: L-values are computed by a truncated approximate functional equation, and two runs of the same method agree even where the method is wrong. The interval was also widened by four units in the last place, but at a precision far finer than the digits written, so that widening is not what the digits rest on.
T71	heuristic (agreement-checked)	the script computes at two precisions and asserts they agree	Computed at two working precisions, the second twice the first, and written only after the two agreed -- the script asserts it. That bounds the error from working precision and nothing else: L-values are computed by a truncated approximate functional equation, and two runs of the same method agree even where the method is wrong. The interval was also widened by four units in the last place, but at a precision far finer than the digits written, so that widening is not what the digits rest on.
T72	heuristic (agreement-checked)	two precisions, agreement asserted; arb could prove this one	Computed at two working precisions and written only after the two agreed. The underlying computation is pi divided by an arithmetic-geometric mean in ordinary floating point: quadratically convergent and about as well behaved as a transcendental computation gets, but with no error bound carried through it. This one could be proven -- arb implements the AGM in ball arithmetic, and at 700 bits gives the real period to 695 accurate bits from exact algebraic input -- and should be, when a generator replaces the script.
T73	heuristic (agreement-checked)	two precisions, agreement asserted; arb could prove this one	Computed at two working precisions and written only after the two agreed. The underlying computation is pi divided by an arithmetic-geometric mean in ordinary floating point: quadratically convergent and about as well behaved as a transcendental computation gets, but with no error bound carried through it. This one could be proven -- arb implements the AGM in ball arithmetic, and at 700 bits gives the real period to 695 accurate bits from exact algebraic input -- and should be, when a generator replaces the script.
T74	heuristic (agreement-checked)	two precisions, agreement asserted; arb could prove this one	Computed at two working precisions and written only after the two agreed. The underlying computation is pi divided by an arithmetic-geometric mean in ordinary floating point: quadratically convergent and about as well behaved as a transcendental computation gets, but with no error bound carried through it. This one could be proven -- arb implements the AGM in ball arithmetic, and at 700 bits gives the real period to 695 accurate bits from exact algebraic input -- and should be, when a generator replaces the script.
T77	exact	type Z
T79	exact	type Z
T80	exact	type Z
T81	exact	type Z
T82	exact	type Z
T83	exact	type Z
T84	heuristic	not computed: LMFDB decimal strings truncated to 100 characters	Not computed: the digits are decimal strings from the LMFDB, pasted into the script and truncated to a hundred characters. Truncation is sound under this database's convention, in which a written digit string denotes an interval of one unit in its last place, but it is the only thing here that is sound by construction. What bounds the original computation's error is not recorded, and spectral parameters of Maass forms are hard to certify.
T85	proven	interval or ball arithmetic only
T86	proven	interval or ball arithmetic only
T87	proven	log|D|/log(N) of exact integers, evaluated into an interval field
T88	proven	a count of curves, evaluated into an interval field
T90	exact	type Z
T91	exact	type Z
T92	proven	interval or ball arithmetic only
